plz	provider	tarif	price	deckungssumme
59558	ADAC-Schutzbrief Versicherungs-AG	EXKLUSIV (nur ADAC Mitglieder)	55,00	10
59558	Adcuri	Basis	43,28	5
59558	Adcuri	Top	51,42	10
59558	Adcuri	Premium	73,84	10
59558	Adcuri	Premium	82,48	50
59558	AllSecur	Basis	50,11	6
59558	AllSecur	Komfort	57,10	12
59558	AllSecur	Premium	66,68	24
59558	ARAG	Basis	55,54	5
59558	ADAC-Schutzbrief Versicherungs-AG	EXKLUSIV (nur ADAC Mitglieder)	55,00	10
59558	Adcuri	Basis	43,28	5
59558	Adcuri	Top	51,42	10
59558	Adcuri	Premium	73,84	10
59558	Adcuri	Premium	82,48	50
59558	AllSecur	Basis	50,11	6
59558	AllSecur	Komfort	57,10	12
59558	AllSecur	Premium	66,68	24
59558	ARAG	Basis	55,54	5
59558	ARAG	Premium	119,25	50
59558	asspario	fair select (5 Jahre ohne Vorschaden)	44,13	10
59558	asspario	best select (5 Jahre ohne Vorschaden)	51,62	15
59558	asspario	top select (5 Jahre ohne Vorschaden)	72,17	50
59558	AXA	Alternativ S - (1 Jahr ohne Vorschaden)	36,35	5
59558	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	41,35	20
59558	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	46,35	20
59558	AXA	Alternativ M - (1 Jahr ohne Vorschaden)	56,35	20
59558	AXA	Alternativ L - (1 Jahr ohne Vorschaden)	67,96	50
59558	Baden-Badener	Eco	39,96	7,5
59558	Baden-Badener	Eco Plus	40,66	10
59558	Baden-Badener	Premium	51,40	10
59558	BarmeniaDirekt	Kompakt	37,01	5
59558	BarmeniaDirekt	Top	63,47	10
59558	BarmeniaDirekt	Top	72,01	50
59558	BarmeniaDirekt	Premium	85,68	10
59558	BarmeniaDirekt	Premium	94,21	50
59558	BavariaDirekt	Komfort S (5 Jahre ohne Vorschaden)	44,91	5
59558	BavariaDirekt	Komfort L (5 Jahre ohne Vorschaden)	54,67	30
59558	BGV / Badische Versicherungen	Basis	42,90	7,5
59558	BGV / Badische Versicherungen	Klassik	64,90	10
59558	BGV / Badische Versicherungen	Exklusiv	93,50	50
59558	Condor	Privatschutz	93,06	15
59558	Condor	Privatschutz Comfort	117,10	20
59558	DEVK Allgemeine	Komfort-Schutz	49,20	10
59558	DEVK Allgemeine	Premium-Schutz	70,80	20
59558	die Bayerische	Komfort (3 Jahre ohne Vorschaden)	54,39	15
59558	die Bayerische	Prestige (3 Jahre ohne Vorschaden)	77,88	50
59558	Die Haftpflichtkasse	Einfach Gut	54,74	15
59558	Die Haftpflichtkasse	Einfach Besser	66,64	20
59558	Die Haftpflichtkasse	Einfach Besser Plus	73,78	50
59558	Die Haftpflichtkasse	Einfach Komplett	83,30	50
59558	ERGO	Privat-Haftpflichtversicherung	77,22	5
59558	ERGO	Privat-Haftpflichtversicherung	82,54	10
59558	ERGO	Privat-Haftpflichtversicherung	90,71	50
59558	ERGO	Premium Schutz	125,87	10
59558	ERGO	Premium Schutz	134,04	50
59558	Europa	Basis	37,76	5
59558	Europa	Komfort	52,23	10
59558	Europa	Premium	84,79	30
59558	Gothaer	Privathaftpflicht	42,11	10
59558	Gothaer	Top	72,39	20
59558	Gothaer	TopPlus	94,77	50
59558	GVO	VIT	42,48	5
59558	GVO	TOP-VIT	61,18	10
59558	GVO	TOP-VIT	76,68	20
59558	GVO	TOP-VIT mit Bestleistungs-Garantie	87,36	10
59558	GVO	TOP-VIT mit Bestleistungs-Garantie	92,15	20
59558	HanseMerkur	Premium	48,37	10
59558	HanseMerkur	Top	63,84	5
59558	HanseMerkur	Top	82,05	10
59558	HanseMerkur	Top	95,00	30
59558	Helvetia	Basisschutz	44,40	5
59558	Helvetia	Basisschutz	45,57	10
59558	Helvetia	Komfortschutz	54,01	5
59558	Helvetia	Komfortschutz	55,76	10
59558	Inter	Exklusiv	69,62	8
59558	Inter	Premium	78,18	10
59558	Interlloyd	PHV Eurosecure	59,50	10
59558	Interlloyd	PHV Premium	71,40	20
59558	Interrisk	Spezial (5 Jahre schadenfreie Vorversicherung)	59,38	7,5
59558	Janitos	Basic (5 Jahre ohne Vorschaden)	55,67	10
59558	Janitos	Balance (5 Jahre ohne Vorschaden)	61,08	20
59558	Janitos	Best Selection (5 Jahre ohne Vorschaden)	63,65	10
59558	Janitos	Best Selection (5 Jahre ohne Vorschaden)	66,34	20
59558	Janitos	Best Selection (5 Jahre ohne Vorschaden) mit Multi-Garantie	70,79	10
59558	Janitos	Best Selection (5 Jahre ohne Vorschaden) mit Multi-Garantie	73,48	20
59558	Medien	Standard	47,60	5
59558	Medien	Komfort	53,31	5
59558	Medien	Komfort	56,53	7,5
59558	Medien	Komfort	72,59	10
59558	Oberösterreichische	Komfortschutz (5 Jahre ohne Vorschaden)	30,87	5
59558	Oberösterreichische	Superschutz (5 Jahre ohne Vorschaden)	44,80	5
59558	Oberösterreichische	Superschutz (5 Jahre ohne Vorschaden)	53,31	10
59558	Prokundo	Komfort plus (5 Jahre ohne Vorschaden)	52,60	10
59558	Prokundo	Exklusiv plus (5 Jahre ohne Vorschaden)	67,95	15
59558	R+V	Privatschutz	93,06	15
59558	Rhion	Standard	48,15	5
59558	Rhion	Plus	61,19	5
59558	Rhion	Premium	71,85	10
59558	Rhion	Premium	75,85	20
59558	Schleswiger	Plus	54,19	5
59558	Schleswiger	Exklusiv	69,73	15
59558	Syncro24	BLUE LINE TIP	54,74	10
59558	Syncro24	BLUE LINE TOP	71,40	10
